Date,Holiday
2015-01-01,New Year's Day
2015-02-14,Valentine's Day
2015-04-05,Easter Sunday
2015-07-04,Independence Day (US)
2015-10-31,Halloween
2015-12-25,Christmas Day
2016-01-01,New Year's Day
2016-02-14,Valentine's Day
2016-03-27,Easter Sunday
2016-07-04,Independence Day (US)
2016-10-31,Halloween
2016-12-25,Christmas Day
2017-01-01,New Year's Day
2017-02-14,Valentine's Day
2017-04-16,Easter Sunday
2017-07-04,Independence Day (US)
2017-10-31,Halloween
2017-12-25,Christmas Day
2018-01-01,New Year's Day
2018-02-14,Valentine's Day
2018-04-01,Easter Sunday
2018-07-04,Independence Day (US)
2018-10-31,Halloween
2018-12-25,Christmas Day
2019-01-01,New Year's Day
2019-02-14,Valentine's Day
2019-04-21,Easter Sunday
2019-07-04,Independence Day (US)
2019-10-31,Halloween
2019-12-25,Christmas Day
2020-01-01,New Year's Day
2020-02-14,Valentine's Day
2020-04-12,Easter Sunday
2020-07-04,Independence Day (US)
2020-10-31,Halloween
2020-12-25,Christmas Day
2021-01-01,New Year's Day
2021-02-14,Valentine's Day
2021-04-04,Easter Sunday
2021-07-04,Independence Day (US)
2021-10-31,Halloween
2021-12-25,Christmas Day
2022-01-01,New Year's Day
2022-02-14,Valentine's Day
2022-04-17,Easter Sunday
2022-07-04,Independence Day (US)
2022-10-31,Halloween
2022-12-25,Christmas Day
2023-01-01,New Year's Day
2023-02-14,Valentine's Day
2023-04-09,Easter Sunday
2023-07-04,Independence Day (US)
2023-10-31,Halloween
2023-12-25,Christmas Day
2024-01-01,New Year's Day
2024-02-14,Valentine's Day
2024-03-31,Easter Sunday
2024-07-04,Independence Day (US)
2024-10-31,Halloween
2024-12-25,Christmas Day
